% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
1518	2	17	21	0	28	2292	0	1	1
1518	2	19	62	0	28	2292	0	1	0
1520	3	25	123	0	28	1479	0	1	1
1525	3	25	123	0	28	1479	0	1	1
1531	2	17	21	0	28	2292	0	1	0
1531	3	25	123	0	28	1479	0	1	0
1541	3	25	123	0	0	53	0	1	1
1555	3	25	123	0	28	1479	0	1	1
1566	3	25	123	0	28	1479	0	1	1
1575	3	25	123	0	28	1479	0	1	1
1576	1	1	6	0	28	1095	0	1	1
1576	1	5	49	0	6	153	0	1	0
1576	1	3	58	0	6	153	0	1	0
1577	1	1	6	0	28	1095	0	1	0
1577	1	5	49	0	6	153	0	1	1
1577	1	3	58	0	6	153	0	1	1
1584	3	25	123	0	28	1479	0	1	1
1587	3	25	123	0	28	1479	0	1	1
1589	3	25	123	0	28	1479	0	1	1
1593	3	25	123	0	28	1479	0	1	1
1603	1	5	49	0	6	209	0	1	1
1603	1	3	58	0	6	209	0	1	0
1606	1	5	49	0	6	209	0	1	0
1606	1	3	58	0	6	209	0	1	1
1621	3	25	123	0	28	1479	0	1	1
1623	3	25	123	0	28	1479	0	1	1
1631	3	25	123	0	28	1479	0	1	1
1642	2	17	21	0	28	2292	0	1	1
1646	1	3	58	0	28	1479	0	1	1
1647	3	25	123	0	28	1479	0	1	1
1650	3	25	123	0	28	1479	0	1	1
1656	1	5	49	0	6	209	0	1	1
1656	1	3	58	0	28	1479	0	1	0
1661	1	5	49	0	6	209	0	1	0
1661	1	3	58	0	28	1479	0	1	1
1665	3	25	123	0	28	1479	0	1	1
1670	2	17	21	0	28	2292	0	1	0
1670	2	19	62	0	28	2292	0	1	1
1673	1	1	6	0	2	87	0	1	1
1674	1	1	6	0	2	87	0	1	1
1675	1	1	6	0	2	87	0	1	0
1675	2	17	21	0	28	2292	0	1	0
1675	2	19	62	0	28	2292	0	1	0
1676	1	1	6	0	2	87	0	1	1
1677	1	1	6	0	2	87	0	1	1
1679	1	1	6	0	2	87	0	1	1
1680	1	1	6	0	28	1479	0	1	1
1693	3	25	123	0	28	1479	0	1	1
1696	3	25	123	0	28	1479	0	1	1
1717	3	25	123	0	28	1479	0	1	1
1765	1	1	6	0	2	65	0	1	1
1765	1	3	58	0	28	1095	0	1	0
1766	1	1	6	0	2	65	0	1	1
1766	1	3	58	0	28	1095	0	1	0
1767	1	1	6	0	28	1479	0	1	1
1776	3	25	123	0	28	1479	0	1	1
1779	3	25	123	0	28	1479	0	1	1
1783	3	25	123	0	28	1479	0	1	1
1789	3	25	123	0	28	1479	0	1	1
1790	3	25	123	0	28	1479	0	1	1
1792	2	17	21	0	28	2292	0	1	1
1796	3	25	123	0	28	1479	0	1	1
1797	3	25	123	0	28	1479	0	1	1
1811	3	25	123	0	28	1479	0	1	1
1812	2	17	21	0	28	2292	0	1	1
1824	3	25	123	0	28	1479	0	1	1
1826	1	5	49	0	6	325	0	1	1
1828	1	5	49	0	6	325	0	1	1
1829	1	5	49	0	6	325	0	1	1
1831	2	17	21	0	28	2292	0	1	1
1831	2	19	62	0	28	2292	0	1	0
1832	3	25	123	0	28	1479	0	1	1
1835	2	17	21	0	28	2292	0	1	0
1835	2	19	62	0	28	2292	0	1	0
1835	3	25	123	0	28	1479	0	1	0
1837	3	25	123	0	28	1479	0	1	1
1838	2	17	21	0	28	2292	0	1	1
1840	3	25	123	0	28	1479	0	1	1
1854	2	17	21	0	28	2292	0	1	1
1855	1	5	49	0	28	2292	0	1	1
1858	2	17	21	0	28	2292	0	1	1
1859	1	1	6	0	28	1095	0	1	0
1859	1	5	49	0	28	1095	0	1	0
1859	1	3	58	0	6	153	0	1	0
1859	2	17	21	0	28	2292	0	1	0
1859	3	25	123	0	28	1479	0	1	0
1865	3	25	123	0	28	1479	0	1	1
1875	3	25	123	0	28	1479	0	1	1
1884	3	25	123	0	28	1479	0	1	1
1913	3	25	123	0	28	1479	0	1	1
1926	3	25	123	0	28	1479	0	1	1
1935	3	25	123	0	28	1479	0	1	1
1953	1	1	6	0	2	65	0	1	1
1955	1	1	6	0	2	65	0	1	0
1955	2	17	21	0	28	2292	0	1	0
1956	1	1	6	0	2	65	0	1	1
1957	1	1	6	0	2	65	0	1	1
1958	1	1	6	0	2	65	0	1	1
1959	1	1	6	0	2	65	0	1	1
1960	1	1	6	0	28	1095	0	1	1
1967	3	25	123	0	28	1479	0	1	1
1971	3	25	123	0	28	1479	0	1	1
1980	3	25	123	0	28	1479	0	1	1
1983	1	5	49	0	6	209	0	1	1
1985	1	5	49	0	6	209	0	1	0
1985	1	3	58	0	6	209	0	1	1
1992	3	25	123	0	28	1479	0	1	1
1994	2	19	62	0	28	2292	0	1	1
1998	2	19	62	0	28	2292	0	1	1
2000	1	3	58	0	28	1479	0	1	1
2014	3	25	123	0	28	1479	0	1	1
2019	1	3	58	0	28	1479	0	1	1
2027	3	25	123	0	28	1479	0	1	1
2033	3	25	123	0	28	1479	0	1	1
2037	3	25	123	0	28	1479	0	1	1
2038	2	19	62	0	28	2292	0	1	1
2039	2	19	62	0	28	2292	0	1	1
2040	1	3	58	0	28	1479	0	1	1
2040	3	25	123	0	28	1479	0	1	1
2044	2	19	62	0	28	2292	0	1	0
2044	3	25	123	0	28	1479	0	1	0
2047	1	1	6	0	28	1095	0	1	1
2047	1	3	58	0	28	1095	0	1	0
2061	3	25	123	0	0	53	0	1	1
2071	3	25	123	0	28	1479	0	1	1
2079	3	25	123	0	28	1479	0	1	1
2110	3	25	123	0	28	1479	0	1	1
2114	3	25	123	0	28	1479	0	1	1
2119	2	17	21	0	28	2292	0	1	1
2134	2	17	21	0	28	2292	0	1	1
2136	3	25	123	0	28	1479	0	1	1
2140	3	25	123	0	28	1479	0	1	1
2141	1	1	6	0	2	65	0	1	1
2141	1	5	49	0	6	153	0	1	0
2142	1	1	6	0	2	65	0	1	1
2142	1	5	49	0	6	153	0	1	0
2143	1	1	6	0	2	65	0	1	1
2143	1	5	49	0	6	153	0	1	0
2144	1	1	6	0	2	65	0	1	1
2144	1	5	49	0	6	153	0	1	1
2144	1	3	58	0	6	153	0	1	1
2145	1	1	6	0	2	65	0	1	1
2145	1	5	49	0	6	153	0	1	0
2145	1	3	58	0	6	153	0	1	0
2146	3	25	123	0	28	1479	0	1	1
2147	1	1	6	0	2	65	0	1	1
2147	1	5	49	0	6	153	0	1	0
2147	1	3	58	0	6	153	0	1	0
2148	1	1	6	0	28	1095	0	1	1
2148	1	3	58	0	6	153	0	1	0
2148	2	17	21	0	28	2292	0	1	0
2148	2	19	62	0	28	2292	0	1	1
2149	3	25	123	0	28	1479	0	1	1
2154	3	25	123	0	28	1479	0	1	1
2170	3	25	123	0	28	1479	0	1	1
2179	2	19	62	0	28	2292	0	1	1
2182	3	25	123	0	28	1479	0	1	1
2191	2	19	62	0	28	2292	0	1	1
2201	3	25	123	0	28	1479	0	1	1
2214	3	25	123	0	28	1479	0	1	1
2218	3	25	123	0	28	1479	0	1	1
2230	2	19	62	0	28	2292	0	1	1
2234	2	19	62	0	28	2292	0	1	1
2236	1	1	6	0	28	1095	0	1	0
2236	3	25	123	0	28	1479	0	1	0
2240	2	19	62	0	28	2292	0	1	1
2257	2	19	62	0	28	2292	0	1	1
2282	2	17	21	0	28	2292	0	1	0
2282	2	19	62	0	28	2292	0	1	1
2288	2	17	21	0	28	2292	0	1	0
2288	2	19	62	0	28	2292	0	1	1
2291	2	19	62	0	28	2292	0	1	1
2296	1	5	49	0	6	209	0	1	1
2297	1	5	49	0	6	209	0	1	1
2303	2	19	62	0	28	2292	0	1	1
2306	1	5	49	0	28	1479	0	1	0
2306	1	3	58	0	6	209	0	1	1
2308	1	5	49	0	28	1479	0	1	1
2308	1	3	58	0	6	209	0	1	0
2310	1	5	49	0	28	1479	0	1	0
2310	1	3	58	0	6	209	0	1	1
2311	1	5	49	0	28	1479	0	1	0
2311	1	3	58	0	6	209	0	1	1
2312	2	19	62	0	28	2292	0	1	1
2316	1	5	49	0	28	1479	0	1	1
2321	2	19	62	0	28	2292	0	1	1
2328	1	5	49	0	28	1479	0	1	1
2328	1	3	58	0	28	1479	0	1	0
2330	1	1	6	0	2	65	0	1	1
2330	1	5	49	0	28	1095	0	1	0
2330	1	3	58	0	28	1095	0	1	0
2333	1	1	6	0	2	65	0	1	1
2333	1	5	49	0	28	1095	0	1	0
2333	1	3	58	0	28	1095	0	1	0
2334	1	1	6	0	2	87	0	1	1
2334	1	5	49	0	28	1479	0	1	0
2335	1	1	6	0	2	137	0	1	1
2336	1	1	6	0	2	137	0	1	1
2338	1	1	6	0	2	87	0	1	1
2340	1	1	6	0	2	87	0	1	1
2341	1	1	6	0	28	1479	0	1	1
2383	3	25	123	0	28	1479	0	1	1
2390	2	19	62	0	28	2292	0	1	1
2392	2	19	62	0	28	2292	0	1	1
2393	3	25	123	0	28	1479	0	1	1
2394	3	25	123	0	28	1479	0	1	1
2404	2	19	62	0	28	2292	0	1	1
2423	3	25	123	0	28	1479	0	1	1
2424	1	1	6	0	2	65	0	1	1
2425	1	1	6	0	2	65	0	1	1
2426	1	1	6	0	2	65	0	1	1
2427	1	1	6	0	2	65	0	1	1
2427	3	25	123	0	28	1479	0	1	0
2428	1	1	6	0	2	65	0	1	1
2429	1	1	6	0	2	65	0	1	1
2431	1	1	6	0	28	1095	0	1	1
2432	2	17	21	0	28	2292	0	1	0
2432	2	19	62	0	28	2292	0	1	1
2433	3	25	123	0	28	1479	0	1	1
2448	3	25	123	0	28	1479	0	1	1
2455	1	5	49	0	6	209	0	1	1
2459	1	5	49	0	6	209	0	1	1
2460	1	5	49	0	6	209	0	1	1
2460	3	25	123	0	28	1479	0	1	1
2464	1	5	49	0	28	1479	0	1	0
2464	1	3	58	0	6	209	0	1	1
2467	1	5	49	0	28	1479	0	1	1
2467	1	3	58	0	6	209	0	1	0
2467	3	25	123	0	28	1479	0	1	1
2481	2	19	62	0	28	2292	0	1	1
2487	2	19	62	0	28	2292	0	1	0
2487	3	25	123	0	28	1479	0	1	0
2491	2	19	62	0	28	2292	0	1	1
2503	1	5	49	0	28	1479	0	1	1
2510	1	5	49	0	28	1479	0	1	1
2515	1	5	49	0	28	1479	0	1	1
2518	1	1	6	0	28	1095	0	1	1
2518	1	5	49	0	28	1095	0	1	0
2522	2	19	62	0	28	2292	0	1	1
2543	3	25	123	0	28	1479	0	1	1
2548	2	19	62	0	28	2292	0	1	1
2563	2	19	62	0	28	2292	0	1	1
2565	3	25	123	0	28	1479	0	1	1
2570	2	19	62	0	28	2292	0	1	1
2571	2	19	62	0	28	2292	0	1	1
2572	3	25	123	0	28	1479	0	1	1
2581	2	19	62	0	28	2292	0	1	1
2596	2	17	21	0	28	2292	0	1	0
2596	2	19	62	0	28	2292	0	1	1
2597	2	17	21	0	28	2292	0	1	0
2597	2	19	62	0	28	2292	0	1	1
2603	2	17	21	0	28	2292	0	1	0
2603	2	19	62	0	28	2292	0	1	1
2604	2	17	21	0	28	2292	0	1	0
2604	2	19	62	0	28	2292	0	1	1
2612	1	1	6	0	2	65	0	1	1
2613	1	1	6	0	2	65	0	1	1
2614	1	1	6	0	2	65	0	1	1
2615	1	1	6	0	2	65	0	1	1
2615	1	5	49	0	6	153	0	1	0
2616	1	1	6	0	2	65	0	1	1
2616	1	5	49	0	6	153	0	1	0
2617	1	1	6	0	2	65	0	1	1
2617	1	5	49	0	6	153	0	1	0
2618	1	1	6	0	2	65	0	1	1
2618	1	5	49	0	6	153	0	1	0
2621	1	1	6	0	28	1095	0	1	1
2621	1	5	49	0	6	153	0	1	0
2632	3	25	123	0	28	1479	0	1	1
2643	2	19	62	0	28	2292	0	1	1
2645	1	3	58	0	6	209	0	1	1
2646	1	3	58	0	6	209	0	1	1
2647	3	25	123	0	28	1479	0	1	1
2655	1	3	58	0	28	1479	0	1	1
2661	3	25	123	0	28	1479	0	1	1
2662	1	3	58	0	28	1479	0	1	1
2663	3	25	123	0	28	1479	0	1	1
2665	1	3	58	0	28	1479	0	1	1
2671	2	19	62	0	28	2292	0	1	0
2671	3	25	123	0	28	1479	0	1	0
2682	3	25	123	0	0	53	0	1	1
2683	3	25	123	0	0	53	0	1	1
2690	1	3	58	0	28	1479	0	1	1
2694	3	25	123	0	28	1479	0	1	1
2701	3	25	123	0	28	1479	0	1	1
2704	3	25	123	0	28	1479	0	1	1
2707	1	1	6	0	28	1095	0	1	1
2707	1	3	58	0	28	1095	0	1	0
2708	3	25	123	0	28	1479	0	1	1
2730	3	25	123	0	28	1479	0	1	1
2749	2	17	21	0	28	2292	0	1	1
2756	3	25	123	0	28	1479	0	1	1
2761	2	17	21	0	28	2292	0	1	1
2768	3	25	123	0	28	1479	0	1	1
2772	3	25	123	0	28	1479	0	1	1
2786	3	25	123	0	28	1479	0	1	1
2790	2	17	21	0	28	2292	0	1	0
2790	2	19	62	0	28	2292	0	1	1
2793	2	17	21	0	28	2292	0	1	0
2793	2	19	62	0	28	2292	0	1	1
2795	2	17	21	0	28	2292	0	1	0
2795	2	19	62	0	28	2292	0	1	1
2801	1	1	6	0	2	65	0	1	1
2801	1	5	49	0	6	153	0	1	0
2801	1	3	58	0	6	153	0	1	0
2802	1	1	6	0	2	65	0	1	1
2802	1	5	49	0	6	153	0	1	0
2802	1	3	58	0	6	153	0	1	0
2802	2	19	62	0	28	2292	0	1	1
2804	1	1	6	0	2	65	0	1	1
2804	1	5	49	0	6	153	0	1	0
2804	1	3	58	0	6	153	0	1	0
2807	1	1	6	0	2	65	0	1	1
2807	1	5	49	0	6	153	0	1	0
2807	1	3	58	0	6	153	0	1	0
2808	1	1	6	0	28	1095	0	1	1
2813	2	19	62	0	28	2292	0	1	1
2821	2	19	62	0	28	2292	0	1	1
2830	3	25	123	0	28	1479	0	1	1
2841	3	25	123	0	28	1479	0	1	1
2865	3	25	123	0	28	1479	0	1	1
2877	2	19	62	0	28	2292	0	1	1
2882	3	25	123	0	28	1479	0	1	1
2887	3	25	123	0	28	1479	0	1	1
2888	2	19	62	0	28	2292	0	1	1
2892	2	19	62	0	28	2292	0	1	1
2893	2	19	62	0	28	2292	0	1	1
2895	1	1	6	0	2	65	0	1	1
2896	1	1	6	0	2	65	0	1	1
2897	1	1	6	0	2	65	0	1	1
2898	1	1	6	0	2	65	0	1	1
2899	1	1	6	0	2	65	0	1	1
2900	1	1	6	0	2	65	0	1	1
2901	1	1	6	0	2	65	0	1	1
2902	1	1	6	0	28	1095	0	1	1
2909	2	17	21	0	28	2292	0	1	0
2909	2	19	62	0	28	2292	0	1	1
2916	2	19	62	0	28	2292	0	1	1
2930	2	19	62	0	28	2292	0	1	1
2931	2	19	62	0	28	2292	0	1	1
2939	2	19	62	0	28	2292	0	1	1
2945	1	5	49	0	6	209	0	1	0
2945	1	3	58	0	6	209	0	1	1
2945	3	25	123	0	28	1479	0	1	1
2950	1	5	49	0	6	209	0	1	1
2950	1	3	58	0	6	209	0	1	0
2957	3	25	123	0	28	1479	0	1	1
2959	1	5	49	0	28	1479	0	1	1
2965	2	19	62	0	28	2292	0	1	1
2967	3	25	123	0	28	1479	0	1	1
2969	3	25	123	0	28	1479	0	1	1
2976	1	5	49	0	28	1479	0	1	1
2984	3	25	123	0	28	1479	0	1	1
2986	1	5	49	0	28	1479	0	1	1
2989	1	1	6	0	28	1095	0	1	1
2989	1	5	49	0	28	1095	0	1	0
2998	3	25	123	0	28	1479	0	1	1
3007	2	19	62	0	28	2292	0	1	1
3008	2	19	62	0	28	2292	0	1	1
3016	3	25	123	0	28	1479	0	1	1
3018	2	19	62	0	28	2292	0	1	1
3027	3	25	123	0	28	1479	0	1	1
3033	3	25	123	0	28	1479	0	1	1
3037	3	25	123	0	28	1479	0	1	1
3041	2	19	62	0	28	2292	0	1	1
3046	3	25	123	0	28	1479	0	1	1
3048	3	25	123	0	28	1479	0	1	1
3053	3	25	123	0	28	1479	0	1	1
3056	3	25	123	0	28	1479	0	1	1
3059	2	19	62	0	28	2292	0	1	1
3068	2	17	21	0	28	2292	0	1	0
3068	2	19	62	0	28	2292	0	1	1
3083	1	1	6	0	2	65	0	1	1
3084	1	1	6	0	2	65	0	1	1
3085	1	1	6	0	2	65	0	1	1
3086	1	1	6	0	2	65	0	1	1
3091	3	25	123	0	28	1479	0	1	1
3092	1	1	6	0	28	1095	0	1	1
3096	1	1	6	0	28	1095	0	1	0
3096	1	5	49	0	6	153	0	1	1
3096	2	17	21	0	28	2292	0	1	1
3096	2	19	62	0	28	2292	0	1	0
3102	2	17	21	0	28	2292	0	1	1
3102	2	19	62	0	28	2292	0	1	0
3104	1	5	49	0	6	209	0	1	1
3104	1	3	58	0	6	209	0	1	0
3107	1	5	49	0	6	209	0	1	1
3107	1	3	58	0	6	209	0	1	0
3113	2	17	21	0	28	2292	0	1	1
3123	3	25	123	0	28	1479	0	1	1
3127	1	5	49	0	28	1479	0	1	1
3128	3	25	123	0	28	1479	0	1	1
3133	3	25	123	0	28	1479	0	1	1
3134	3	25	123	0	28	1479	0	1	1
3155	3	25	123	0	28	1479	0	1	1
3190	3	25	123	0	28	1479	0	1	1
3205	3	25	123	0	28	1479	0	1	1
3211	3	25	123	0	28	1479	0	1	1
3213	1	1	6	0	2	87	0	1	1
3214	1	1	6	0	2	87	0	1	1
3215	1	1	6	0	2	87	0	1	1
3216	1	1	6	0	2	87	0	1	1
3217	1	1	6	0	2	87	0	1	1
3218	1	1	6	0	2	87	0	1	1
3219	1	1	6	0	2	87	0	1	1
3220	1	1	6	0	28	1479	0	1	1
3231	2	17	21	0	28	2292	0	1	1
3237	3	25	123	0	28	1479	0	1	1
3241	2	17	21	0	28	2292	0	1	1
3243	2	17	21	0	28	2292	0	1	0
3243	3	25	123	0	28	1479	0	1	0
3244	2	17	21	0	28	2292	0	1	1
3255	2	17	21	0	28	2292	0	1	1
3268	1	3	58	0	6	325	0	1	1
3269	1	3	58	0	6	325	0	1	1
3271	1	1	6	0	2	65	0	1	0
3271	1	5	49	0	6	153	0	1	0
3271	1	3	58	0	6	153	0	1	0
3271	2	17	21	0	28	2292	0	1	0
3271	2	19	62	0	28	2292	0	1	0
3272	1	1	6	0	2	65	0	1	1
3272	1	5	49	0	6	153	0	1	0
3272	1	3	58	0	6	153	0	1	0
3273	1	1	6	0	2	65	0	1	1
3273	1	5	49	0	6	153	0	1	0
3273	1	3	58	0	6	153	0	1	0
3274	1	1	6	0	2	65	0	1	1
3274	1	5	49	0	6	153	0	1	0
3274	1	3	58	0	6	153	0	1	0
3275	1	1	6	0	2	65	0	1	1
3275	1	5	49	0	6	153	0	1	0
3275	1	3	58	0	28	1095	0	1	0
3276	1	1	6	0	2	65	0	1	1
3276	1	5	49	0	6	153	0	1	0
3276	1	3	58	0	28	1095	0	1	0
3277	1	1	6	0	2	65	0	1	1
3277	1	5	49	0	6	153	0	1	0
3277	1	3	58	0	28	1095	0	1	0
3279	1	1	6	0	28	1095	0	1	1
3280	3	25	123	0	0	53	0	1	1
3281	3	25	123	0	0	53	0	1	1
3286	3	25	123	0	0	53	0	1	1
3293	3	25	123	0	28	1479	0	1	1
3304	3	25	123	0	28	1479	0	1	1
3311	3	25	123	0	28	1479	0	1	1
3320	3	25	123	0	28	1479	0	1	1
3321	3	25	123	0	28	1479	0	1	1
3337	3	25	123	0	28	1479	0	1	1
3341	3	25	123	0	28	1479	0	1	1
3351	3	25	123	0	28	1479	0	1	1
3352	3	25	123	0	28	1479	0	1	1
3365	1	1	6	0	28	1095	0	1	0
3365	3	25	123	0	28	1479	0	1	0
3369	3	25	123	0	28	1479	0	1	1
3372	1	1	6	0	28	1095	1	0	1
3377	3	25	123	0	28	1479	0	1	1
3396	3	25	123	0	28	1479	0	1	1
3408	2	17	21	0	28	2292	0	1	1
3427	1	5	49	0	6	209	0	1	0
3427	1	3	58	0	6	209	0	1	1
3428	2	17	21	0	28	2292	0	1	1
3428	2	19	62	0	28	2292	0	1	0
3435	1	3	58	0	6	325	0	1	1
3436	3	25	123	0	28	1479	0	1	1
3438	3	25	123	0	28	1479	0	1	1
3445	2	17	21	0	28	2292	0	1	1
3449	3	25	123	0	28	1479	0	1	1
3452	1	3	58	0	28	2292	0	1	1
3458	2	17	21	0	28	2292	0	1	0
3458	3	25	123	0	28	1479	0	1	0
3461	1	1	6	0	28	1095	0	1	1
3461	1	3	58	0	28	1095	0	1	0
3463	1	3	58	0	28	1479	0	1	1
3481	1	3	58	0	28	1479	0	1	1
3489	3	25	123	0	28	1479	0	1	1
3492	1	3	58	0	28	1479	0	1	1
3500	1	3	58	0	28	1479	0	1	1
3507	3	25	123	0	28	1479	0	1	1
3511	3	25	123	0	28	1479	0	1	1
3515	3	25	123	0	28	1479	0	1	1
3517	3	25	123	0	28	1479	0	1	1
3537	3	25	123	0	28	1479	0	1	1
3547	3	25	123	0	28	1479	0	1	1
3553	2	17	21	0	28	2292	0	1	1
3554	1	1	6	0	2	65	0	1	1
3554	1	3	58	0	28	1095	0	1	0
3557	1	1	6	0	2	87	0	1	1
3557	3	25	123	0	28	1479	0	1	1
3558	1	1	6	0	2	87	0	1	1
3559	1	1	6	0	2	87	0	1	1
3560	1	1	6	0	2	87	0	1	1
3561	1	1	6	0	2	87	0	1	1
3562	1	1	6	0	2	87	0	1	1
3563	1	1	6	0	2	87	0	1	1
3564	1	1	6	0	28	1479	0	1	1
3565	3	25	123	0	28	1479	0	1	1
3568	3	25	123	0	28	1479	0	1	1
3569	3	25	123	0	28	1479	0	1	1
3575	1	5	49	0	6	325	0	1	1
3580	3	25	123	0	28	1479	0	1	1
3587	1	5	49	0	28	2292	0	1	0
3587	3	25	123	0	28	1479	0	1	0
3591	1	5	49	0	28	2292	0	1	1
3594	1	5	49	0	28	2292	1	0	1
3596	2	17	21	0	28	2292	0	1	1
3596	2	19	62	0	28	2292	0	1	0
3603	2	17	21	0	28	2292	0	1	1
3606	1	5	49	0	28	2292	0	1	1
3630	2	17	21	0	28	2292	0	1	1
3633	2	17	21	0	28	2292	0	1	1
3648	1	1	6	0	28	1095	0	1	1
3648	1	5	49	0	28	1095	0	1	1
