% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
3985	7	70	2	0	0	12	1191	0	1	1
3986	7	61	7	0	0	10	935	0	1	1
3987	1	4	3	0	0	0	165	0	1	1
3987	7	62	6	0	0	6	621	0	1	1
3988	7	66	11	0	0	4	437	0	1	1
3989	1	1	6	0	0	0	165	0	1	1
3989	4	40	33	0	0	0	165	0	1	0
3989	7	64	8	0	0	18	1980	0	1	1
3990	5	45	33	0	0	0	165	0	1	0
3990	7	69	1	0	0	16	1836	0	1	1
3991	7	67	12	0	0	4	437	0	1	1
3992	7	63	3	0	0	14	1527	0	1	1
3993	7	65	4	0	0	6	621	0	1	1
3994	7	70	2	0	0	12	1191	0	1	1
3995	7	68	5	0	0	4	437	0	1	1
3996	7	61	7	0	0	10	935	0	1	1
3997	7	66	11	0	0	4	437	0	1	1
3998	1	2	19	0	0	0	165	0	1	0
3998	7	64	8	0	0	18	1980	0	1	1
3999	1	1	6	0	0	0	165	0	1	1
3999	7	62	6	0	0	6	621	0	1	1
4000	7	69	1	0	0	16	1836	0	1	1
4001	1	7	8	0	0	0	165	0	1	0
4001	6	56	54	0	0	0	165	0	1	0
4001	7	67	12	0	0	4	437	0	1	1
4002	7	63	3	0	0	14	1527	0	1	1
4003	2	12	73	0	0	0	165	0	1	0
4003	7	70	2	0	0	12	1191	0	1	1
4004	1	3	58	0	0	0	165	0	1	0
4004	2	15	99	0	0	0	165	0	1	0
4004	7	68	5	0	0	4	437	0	1	1
4005	1	2	19	0	0	0	165	1	0	1
4005	7	65	4	0	0	6	621	0	1	1
4006	1	9	23	0	0	0	165	0	1	0
4006	7	61	7	0	0	10	935	0	1	1
4007	7	66	11	0	0	4	437	0	1	1
4008	1	7	8	0	0	0	165	1	0	1
4008	2	11	34	0	0	0	165	0	1	0
4008	7	64	8	0	0	18	1980	0	1	1
4009	1	4	3	0	0	0	165	0	1	1
4009	7	69	1	0	0	16	1836	0	1	1
4010	1	2	19	0	0	0	165	0	1	0
4010	3	27	65	0	0	0	165	0	1	0
4010	7	62	6	0	0	6	621	0	1	1
4011	7	67	12	0	0	4	437	0	1	1
4012	1	1	6	0	0	0	165	0	1	1
4012	7	63	3	0	0	14	1527	0	1	1
4013	1	9	23	0	0	0	165	1	0	1
4013	4	39	74	0	0	0	165	0	1	0
4013	7	70	2	0	0	12	1191	0	1	1
4014	7	68	5	0	0	4	437	0	1	1
4015	7	65	4	0	0	6	621	0	1	1
4016	7	61	7	0	0	10	935	0	1	1
4017	6	59	3	0	0	0	165	0	1	0
4017	7	66	11	0	0	4	437	0	1	1
4018	1	10	15	0	0	0	165	0	1	0
4018	7	64	8	0	0	18	1980	0	1	1
4019	7	69	1	0	0	16	1836	0	1	1
4020	1	9	23	0	0	0	165	0	1	0
4020	7	67	12	0	0	4	437	0	1	1
4021	2	13	116	0	0	0	165	0	1	0
4021	7	62	6	0	0	6	621	0	1	1
4022	1	4	3	0	0	0	165	0	1	1
4022	7	63	3	0	0	14	1527	0	1	1
4023	1	2	19	0	0	0	165	0	1	0
4023	7	70	2	0	0	12	1191	0	1	1
4024	1	1	6	0	0	0	165	0	1	1
4024	7	68	5	0	0	4	437	0	1	1
4025	7	61	7	0	0	10	935	0	1	1
4026	7	66	11	0	0	4	437	0	1	1
4027	7	65	4	0	0	6	621	0	1	1
4028	7	64	8	0	0	18	1980	0	1	1
4029	7	69	1	0	0	16	1836	0	1	1
4030	1	2	19	0	0	0	165	1	0	1
4030	7	67	12	0	0	4	437	0	1	1
4031	7	63	3	0	0	14	1527	0	1	1
4032	4	38	37	0	0	0	165	0	1	0
4032	7	70	2	0	0	12	1191	0	1	1
4033	1	9	23	0	0	0	165	0	1	0
4033	7	62	6	0	0	6	621	0	1	1
4034	7	68	5	0	0	4	437	0	1	1
4035	1	4	3	0	0	0	165	0	1	1
4035	7	61	7	0	0	10	935	0	1	1
4036	1	2	19	0	0	0	165	0	1	0
4036	3	23	23	0	0	0	165	0	1	0
4036	5	41	58	0	0	0	165	0	1	0
4036	6	57	1	0	0	0	165	0	1	0
4036	7	66	11	0	0	4	437	0	1	1
4037	1	1	6	0	0	0	165	0	1	1
4037	2	12	73	0	0	0	165	0	1	0
4037	7	64	8	0	0	18	1980	0	1	1
4038	7	69	1	0	0	16	1836	0	1	1
4039	5	44	105	0	0	0	165	0	1	0
4039	7	65	4	0	0	6	621	0	1	1
4040	7	67	12	0	0	4	437	0	1	1
4041	7	63	3	0	0	14	1527	0	1	1
4042	1	10	15	0	0	0	165	0	1	0
4042	3	25	123	0	0	0	165	0	1	0
4042	7	70	2	0	0	12	1191	0	1	1
4043	7	68	5	0	0	4	437	0	1	1
4044	7	62	6	0	0	6	621	0	1	1
