% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2386	2	19	62	0	0	165	0	1
2386	3	29	85	0	0	165	0	1
2386	4	36	121	0	0	165	0	1
2386	5	45	33	0	0	165	0	1
2386	6	55	40	0	0	165	0	1
2386	7	68	5	0	4	437	0	1
2387	1	2	19	0	0	165	0	1
2387	2	20	15	0	0	165	0	1
2387	3	22	160	0	0	165	1	0
2387	4	33	126	0	0	165	0	1
2387	5	50	45	0	0	165	0	1
2387	6	58	2	0	0	165	1	0
2387	7	65	4	0	6	621	0	1
2388	1	1	6	0	0	165	0	1
2388	2	20	15	0	0	165	1	0
2388	3	24	94	0	0	165	0	1
2388	4	35	145	0	0	165	0	1
2388	5	47	49	0	0	165	0	1
2388	6	56	54	0	0	165	0	1
2388	7	61	7	0	10	935	0	1
2389	1	3	58	0	0	165	0	1
2389	2	20	15	0	0	165	0	1
2389	3	26	102	0	0	165	0	1
2389	4	40	33	0	0	165	0	1
2389	5	48	77	0	0	165	1	0
2389	6	54	55	0	0	165	0	1
2389	7	66	11	0	4	437	0	1
2390	1	5	49	0	0	165	0	1
2390	2	20	15	0	0	165	0	1
2390	3	25	123	0	0	165	0	1
2390	4	38	37	0	0	165	0	1
2390	5	46	56	0	0	165	0	1
2390	6	51	81	0	0	165	0	1
2390	7	64	8	0	18	1980	0	1
2391	1	4	3	0	0	165	0	1
2391	2	20	15	0	0	165	0	1
2391	3	30	59	0	0	165	1	0
2391	4	31	93	0	0	165	1	0
2391	5	41	58	0	0	165	0	1
2391	6	57	1	0	0	165	0	1
2391	7	69	1	0	16	1836	0	1
2392	1	2	19	0	0	165	0	1
2392	2	20	15	0	0	165	0	1
2392	3	22	160	0	0	165	0	1
2392	4	37	42	0	0	165	0	1
2392	5	43	23	0	0	165	1	0
2392	6	52	30	0	0	165	1	0
2392	7	62	6	0	6	621	0	1
2393	1	4	3	0	0	165	1	0
2393	3	28	219	0	0	165	0	1
2393	4	39	74	0	0	165	0	1
2393	5	49	67	0	0	165	0	1
2393	6	58	2	0	0	165	0	1
2393	7	67	12	0	4	437	0	1
2394	1	1	6	0	0	165	0	1
2394	3	21	237	0	0	165	0	1
2394	4	34	89	0	0	165	0	1
2394	5	48	77	0	0	165	0	1
2394	6	59	3	0	0	165	0	1
2394	7	63	3	0	14	1527	0	1
2395	1	3	58	0	0	165	0	1
2395	2	20	15	0	0	165	0	1
2395	3	23	23	0	0	165	0	1
2395	4	31	93	0	0	165	0	1
2395	5	44	105	0	0	165	0	1
2395	6	60	8	0	0	165	0	1
2395	7	70	2	0	12	1191	0	1
2396	1	5	49	0	0	165	0	1
2396	3	26	102	0	0	165	1	0
2396	4	32	110	0	0	165	0	1
2396	5	42	12	0	0	165	0	1
2396	6	53	12	0	0	165	0	1
2396	7	68	5	0	4	437	0	1
2397	1	4	3	0	0	165	0	1
2397	2	20	15	0	0	165	0	1
2397	3	25	123	0	0	165	1	0
2397	4	38	37	0	0	165	1	0
2397	5	43	23	0	0	165	0	1
2397	6	52	30	0	0	165	0	1
2397	7	65	4	0	6	621	0	1
2398	1	2	19	0	0	165	0	1
2398	2	20	15	0	0	165	1	0
2398	3	30	59	0	0	165	0	1
2398	4	36	121	0	0	165	0	1
2398	5	45	33	0	0	165	0	1
2398	6	55	40	0	0	165	0	1
2398	7	61	7	0	10	935	0	1
2399	1	1	6	0	0	165	0	1
2399	2	20	15	0	0	165	0	1
2399	3	27	65	0	0	165	0	1
2399	4	33	126	0	0	165	0	1
2399	5	50	45	0	0	165	0	1
2399	6	52	30	0	0	165	2	0
2399	7	66	11	0	4	437	0	1
2400	1	3	58	0	0	165	0	1
2400	2	20	15	0	0	165	0	1
