% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
8.53	6	51	854	1	81	0	165	0	0
8.53	7	65	854	1	4	6	621	0	0
8.531	1	10	854	2	15	0	165	0	0
8.531	2	15	854	2	99	0	165	0	0
8.531	3	22	854	2	160	0	165	0	0
8.531	4	33	854	2	126	0	165	0	0
8.531	5	46	854	2	56	0	165	0	0
8.531	6	57	854	2	1	0	165	0	0
8.531	7	68	854	2	5	4	437	0	0
8.532	1	3	854	3	58	0	165	0	0
8.532	2	14	854	3	108	0	165	0	0
8.532	3	28	854	3	219	0	165	0	0
8.532	4	35	854	3	145	0	165	0	0
8.532	5	45	854	3	33	0	165	0	0
8.532	6	58	854	3	2	0	165	0	0
8.532	7	64	854	3	8	18	1980	0	0
8.533	1	2	854	4	19	0	165	0	0
8.533	2	13	854	4	116	0	165	0	0
8.533	3	27	854	4	65	0	165	0	0
8.533	4	40	854	4	33	0	165	0	0
8.533	5	50	854	4	45	0	165	0	0
8.533	6	59	854	4	3	0	165	0	0
8.533	7	69	854	4	1	16	1836	0	0
8.534	1	9	854	5	23	0	165	0	0
8.534	2	16	854	5	44	0	165	0	0
8.534	3	23	854	5	23	0	165	0	0
8.534	4	38	854	5	37	0	165	0	0
8.534	5	47	854	5	49	0	165	0	0
8.534	6	60	854	5	8	0	165	0	0
8.534	7	66	854	5	11	4	437	0	0
8.535	1	5	854	6	49	0	165	0	0
8.535	2	11	854	6	34	0	165	0	0
8.535	3	30	854	6	59	0	165	0	0
8.535	4	31	854	6	93	0	165	0	0
8.535	5	46	854	6	56	0	165	0	0
8.535	6	53	854	6	12	0	165	0	0
8.535	7	62	854	6	6	6	621	0	0
8.536	1	4	854	7	3	0	165	0	0
8.536	2	12	854	7	73	0	165	0	0
8.536	3	27	854	7	65	0	165	0	0
8.536	4	37	854	7	42	0	165	0	0
8.536	5	41	854	7	58	0	165	0	0
8.536	6	52	854	7	30	0	165	0	0
8.536	7	63	854	7	3	14	1527	0	0
8.537	1	2	854	8	19	0	165	0	0
8.537	2	15	854	8	99	0	165	0	0
8.537	3	25	854	8	123	0	165	0	0
8.537	4	39	854	8	74	0	165	0	0
8.537	5	49	854	8	67	0	165	0	0
8.537	6	55	854	8	40	0	165	0	0
8.537	7	70	854	8	2	12	1191	0	0
8.538	1	1	854	9	6	0	165	0	0
8.538	2	14	854	9	108	0	165	0	0
8.538	3	29	854	9	85	0	165	0	0
8.538	4	34	854	9	89	0	165	0	0
8.538	5	48	854	9	77	0	165	0	0
8.538	6	56	854	9	54	0	165	0	0
8.538	7	67	854	9	12	4	437	0	0
8.539	1	8	854	10	7	0	165	0	0
8.539	2	13	854	10	116	0	165	0	0
8.539	3	24	854	10	94	0	165	0	0
8.539	4	31	854	10	93	0	165	0	0
8.539	5	44	854	10	105	0	165	0	0
